HighEntropy
Actor Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-170, Activation-RELU,Layer 2,Neurons-170, Activation-RELU,Layer 3,Neurons-32, Activation-SOFTMAX,
Actor Learning Rate:,0.0005
Optimizer Type:,Momentum
Momentum Coeff:,0.95
Entropy Coeff:,0.03
Baseline Type:,Critic Network
Critic Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-85, Activation-RELU,Layer 2,Neurons-1, Activation-LINEAR,
Critic Learning Rate:,0.015
Critic Optimizer Type:,SDG

Workers:,8, Batch Size:,32


Batches,Hands,TotalAvgScore,RecentAvgScore,RecentAvgEntropy,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
254000,8128000,0.457555,0.656016,0.338265,19.3297,1.33167,11.8859,11.5991,9.89057,0.955941,0.560411,0.738554,
256000,8192000,0.459113,0.657,0.333237,19.3948,0.665319,11.9229,11.6314,9.93554,0.448698,0.246215,0.425086,
258000,8256000,0.460624,0.653984,0.34222,19.4355,1.49312,11.9472,11.6491,9.96507,1.06085,0.438349,0.9549,
260000,8320000,0.462133,0.656844,0.314152,19.4759,1.42248,11.9714,11.6669,9.99407,0.839379,0.412408,1.07183,
262000,8384000,0.463627,0.657828,0.34043,19.506,0.656494,11.9903,11.6789,10.0159,0.418059,0.205671,0.462504,
264000,8448000,0.465059,0.652687,0.340118,19.5414,1.16232,12.0118,11.6935,10.0422,0.762619,0.453954,0.750552,
266000,8512000,0.466515,0.658719,0.328224,19.5973,0.927475,12.0441,11.7199,10.0816,0.601864,0.319626,0.629134,
268000,8576000,0.467917,0.654312,0.321645,19.6532,0.627067,12.0761,11.7465,10.121,0.39059,0.172871,0.459095,
270000,8640000,0.469336,0.659516,0.328415,19.6849,0.853813,12.0963,11.759,10.1441,0.646121,0.301066,0.469983,
272000,8704000,0.470693,0.653844,0.348781,19.7301,1.48168,12.1245,11.7784,10.1756,1.00213,0.505209,0.967407,
274000,8768000,0.472034,0.654391,0.361341,19.7801,0.886071,12.1549,11.8008,10.2106,0.659202,0.30833,0.505478,
276000,8832000,0.473414,0.662547,0.336806,19.8138,0.526273,12.1756,11.8139,10.2359,0.333066,0.159784,0.374833,
278000,8896000,0.474708,0.653281,0.334607,19.8299,0.986811,12.1875,11.8152,10.2514,0.509549,0.328649,0.778553,
280000,8960000,0.475997,0.655109,0.333496,19.8683,0.774157,12.2118,11.8302,10.2794,0.412599,0.227483,0.614275,
282000,9024000,0.477319,0.662391,0.303849,19.9224,1.01389,12.2436,11.8557,10.317,0.63751,0.284074,0.735425,
284000,9088000,0.478604,0.659797,0.299857,19.9637,0.465259,12.2683,11.874,10.3462,0.302203,0.158922,0.316042,
286000,9152000,0.479856,0.657609,0.309064,20.0095,0.302299,12.2957,11.8943,10.3789,0.218274,0.0988995,0.184283,
288000,9216000,0.481098,0.658703,0.305848,20.0565,0.904182,12.3239,11.9154,10.412,0.6345,0.260827,0.589002,
290000,9280000,0.482304,0.656078,0.26266,20.0924,3.37162,12.3453,11.9314,10.4375,2.34934,1.08908,2.15924,
292000,9344000,0.483545,0.663516,0.307398,20.1199,0.862784,12.3628,11.9414,10.4583,0.553684,0.287207,0.596106,
294000,9408000,0.484744,0.659703,0.302707,20.178,0.78546,12.397,11.9691,10.4979,0.501346,0.258371,0.546666,
296000,9472000,0.485953,0.663719,0.283222,20.2193,1.10213,12.422,11.9879,10.5264,0.676275,0.328168,0.806003,
298000,9536000,0.487155,0.665,0.276785,20.2634,1.29921,12.449,12.0082,10.5561,0.91261,0.401931,0.832798,
300000,9600000,0.488324,0.662609,0.290769,20.2895,0.825017,12.4668,12.0174,10.5748,0.474601,0.231416,0.633919,
302000,9664000,0.489473,0.661797,0.285434,20.3337,0.363887,12.4937,12.0366,10.606,0.2775,0.12665,0.198412,
304000,9728000,0.490618,0.663484,0.269445,20.3644,1.7385,12.5133,12.0492,10.6274,1.24279,0.661601,1.01988,
306000,9792000,0.491775,0.667609,0.279654,20.3952,3.43348,12.5331,12.0615,10.6492,2.63449,1.18899,1.85325,
308000,9856000,0.492853,0.657844,0.282476,20.4237,0.735798,12.5512,12.0724,10.6701,0.467761,0.239368,0.515075,
310000,9920000,0.493978,0.667141,0.298115,20.4683,0.523755,12.5789,12.0915,10.7013,0.340709,0.157097,0.365455,
312000,9984000,0.495073,0.664906,0.285948,20.5053,1.0361,12.6022,12.1072,10.727,0.629947,0.279454,0.773672,
314000,10048000,0.496138,0.662141,0.288,20.5359,1.18294,12.6225,12.1189,10.7484,0.726159,0.33473,0.87178,
316000,10112000,0.497213,0.666109,0.269406,20.5792,1.29164,12.6485,12.1388,10.7781,0.97622,0.49475,0.685963,
318000,10176000,0.498245,0.661313,0.271108,20.6295,1.58049,12.6783,12.1619,10.8132,0.893043,0.419527,1.23468,
320000,10240000,0.499283,0.664312,0.275382,20.6559,1.57905,12.6963,12.1712,10.832,1.13565,0.463859,0.994238,
322000,10304000,0.500338,0.669109,0.269669,20.6934,0.836138,12.7196,12.1868,10.8586,0.564791,0.2602,0.558958,
324000,10368000,0.501351,0.664422,0.278811,20.7389,0.608672,12.7498,12.2053,10.8891,0.390391,0.194109,0.424734,
326000,10432000,0.502342,0.662953,0.280359,20.7756,1.13262,12.7736,12.2202,10.9145,0.76866,0.394525,0.732356,
328000,10496000,0.503307,0.660531,0.262595,20.8061,0.616944,12.7933,12.2324,10.936,0.43772,0.171286,0.399602,
330000,10560000,0.504322,0.670781,0.255986,20.8547,1.49558,12.8226,12.255,10.9689,0.927208,0.421077,1.09532,
332000,10624000,0.505284,0.663938,0.236957,20.8979,1.18775,12.8483,12.2748,10.9986,0.893086,0.455419,0.636974,
334000,10688000,0.506306,0.676094,0.262368,20.9246,1.81825,12.8666,12.2837,11.0181,1.29052,0.66499,1.09471,
336000,10752000,0.507204,0.657062,0.281878,20.9542,0.575306,12.887,12.2949,11.038,0.359325,0.166614,0.417256,
338000,10816000,0.50813,0.663813,0.278973,20.9862,0.756264,12.9083,12.3071,11.0603,0.466265,0.242749,0.543697,
340000,10880000,0.509036,0.662172,0.305182,21.0181,0.912783,12.9302,12.3189,11.0821,0.72473,0.245973,0.49743,
342000,10944000,0.509949,0.665078,0.298818,21.0585,1.64648,12.9564,12.3355,11.1098,1.21344,0.527633,0.979818,
344000,11008000,0.510847,0.664422,0.284815,21.1087,0.951773,12.9881,12.3576,11.1435,0.6635,0.313531,0.606085,
346000,11072000,0.511751,0.667234,0.273944,21.1574,0.41987,13.0187,12.3799,11.1754,0.303815,0.114734,0.266128,
348000,11136000,0.512634,0.665313,0.265499,21.194,4.20834,13.0426,12.3948,11.2002,2.90639,1.58454,2.59851,
350000,11200000,0.513534,0.670172,0.275481,21.2246,0.879214,13.0632,12.4062,11.2214,0.625333,0.318728,0.529517,
352000,11264000,0.514392,0.664484,0.290927,21.2641,1.81652,13.0889,12.4217,11.2492,1.47902,0.631232,0.844866,
354000,11328000,0.515253,0.666844,0.256896,21.3005,1.76051,13.1126,12.4369,11.2736,1.28952,0.635792,1.01602,
356000,11392000,0.516135,0.672328,0.274077,21.3452,0.63922,13.1413,12.4565,11.3031,0.400266,0.227346,0.443512,
358000,11456000,0.51699,0.669047,0.284103,21.379,0.691527,13.164,12.4689,11.3268,0.561688,0.179311,0.361336,
360000,11520000,0.517828,0.667953,0.26713,21.4086,2.19837,13.1838,12.4796,11.348,1.37965,0.592327,1.60579,
362000,11584000,0.518646,0.665797,0.2612,21.462,0.936943,13.2174,12.5032,11.3837,0.637669,0.303293,0.615837,
364000,11648000,0.519435,0.662266,0.258742,21.4858,1.13818,13.2336,12.5105,11.4017,0.690636,0.294159,0.855537,
366000,11712000,0.520242,0.667063,0.262719,21.5134,0.718742,13.2524,12.5193,11.4222,0.553782,0.288363,0.356036,
368000,11776000,0.521057,0.670344,0.258712,21.5446,0.78141,13.273,12.5315,11.4437,0.52036,0.23361,0.534091,
370000,11840000,0.521845,0.666687,0.26214,21.5773,2.47233,13.2947,12.5445,11.4658,1.62971,0.842667,1.65721,
