LowEntropy
Actor Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-170, Activation-RELU,Layer 2,Neurons-170, Activation-RELU,Layer 3,Neurons-32, Activation-SOFTMAX,
Actor Learning Rate:,0.0005
Optimizer Type:,Momentum
Momentum Coeff:,0.95
Entropy Coeff:,0.004
Baseline Type:,Critic Network
Critic Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-85, Activation-RELU,Layer 2,Neurons-1, Activation-LINEAR,
Critic Learning Rate:,0.015
Critic Optimizer Type:,SDG

Workers:,8, Batch Size:,32


Batches,Hands,TotalAvgScore,RecentAvgScore,RecentAvgEntropy,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
306000,9792000,0.436113,0.538484,0.120941,18.2303,0.19511,11.6164,11.0033,8.73685,0.148549,0.087725,0.0911339,
308000,9856000,0.43681,0.543437,0.120726,18.2633,0.300963,11.638,11.0191,8.75698,0.276014,0.0831874,0.0864544,
310000,9920000,0.437514,0.545937,0.115343,18.306,0.515918,11.6641,11.0406,8.78428,0.428516,0.204361,0.201946,
312000,9984000,0.438199,0.544422,0.113738,18.3408,0.438811,11.6874,11.0571,8.80506,0.366469,0.173897,0.16738,
314000,10048000,0.438894,0.547266,0.114788,18.3731,0.288889,11.709,11.0724,8.82435,0.244069,0.10911,0.109462,
316000,10112000,0.439568,0.545406,0.119447,18.4018,1.13009,11.7295,11.0853,8.84081,0.993491,0.383325,0.378332,
318000,10176000,0.440264,0.550297,0.115316,18.4415,0.490383,11.755,11.1049,8.86508,0.429163,0.175953,0.159172,
320000,10240000,0.440894,0.541,0.112394,18.4772,1.41249,11.7778,11.1224,8.88716,1.17309,0.519902,0.590498,
322000,10304000,0.441619,0.557734,0.108027,18.5176,1.07952,11.8037,11.1422,8.91202,0.883154,0.427751,0.449921,
324000,10368000,0.442282,0.549016,0.106495,18.5558,0.630189,11.8283,11.1608,8.93557,0.563719,0.208957,0.188933,
326000,10432000,0.442943,0.550016,0.106254,18.5837,0.750974,11.8476,11.1738,8.95178,0.554401,0.310981,0.399864,
328000,10496000,0.443609,0.552141,0.106367,18.6218,0.439487,11.8714,11.1928,8.97556,0.372637,0.169616,0.159751,
330000,10560000,0.444233,0.546547,0.108005,18.6501,0.237582,11.8906,11.2062,8.99221,0.199891,0.0966782,0.0845085,
332000,10624000,0.444815,0.540891,0.0984828,18.6865,0.0837707,11.9132,11.2245,9.01498,0.0653404,0.0348246,0.0391844,
334000,10688000,0.445468,0.553781,0.106472,18.7189,1.32053,11.9345,11.2402,9.0345,1.13435,0.489221,0.466586,
336000,10752000,0.44613,0.556719,0.12305,18.7519,0.35438,11.9578,11.2553,9.05338,0.286096,0.15692,0.13824,
338000,10816000,0.44677,0.554219,0.119309,18.7773,0.263829,11.9757,11.2668,9.06796,0.250667,0.0678821,0.0465204,
340000,10880000,0.447391,0.552437,0.105516,18.8102,0.539126,11.9972,11.2829,9.08784,0.430001,0.216682,0.242497,
342000,10944000,0.44799,0.549719,0.116055,18.8463,1.24936,12.0205,11.3005,9.10978,1.04754,0.431748,0.526446,
344000,11008000,0.448575,0.548719,0.116886,18.8784,0.42794,12.0421,11.3157,9.12883,0.346237,0.136835,0.211019,
346000,11072000,0.449136,0.545578,0.104365,18.9081,1.45885,12.0627,11.3296,9.14605,1.10739,0.655624,0.687088,
348000,11136000,0.449712,0.549422,0.112044,18.9442,0.383359,12.0861,11.3472,9.16789,0.330189,0.156339,0.116178,
350000,11200000,0.450282,0.549422,0.0970929,18.9832,0.347155,12.1103,11.3669,9.19212,0.307866,0.125581,0.0998216,
352000,11264000,0.450864,0.552781,0.093713,19.0134,0.401031,12.1302,11.3814,9.21022,0.345535,0.142655,0.145193,
354000,11328000,0.45141,0.547391,0.11694,19.0444,0.74149,12.1527,11.3952,9.22772,0.583529,0.315695,0.331115,
356000,11392000,0.451965,0.550219,0.106697,19.0802,0.399908,12.1776,11.4119,9.2481,0.352557,0.152081,0.11181,
358000,11456000,0.452529,0.553,0.0930103,19.1181,0.305869,12.2018,11.4307,9.27136,0.254896,0.128918,0.109379,
360000,11520000,0.453094,0.554109,0.0920596,19.1512,0.169092,12.2234,11.447,9.2912,0.146118,0.0585213,0.0617807,
362000,11584000,0.453631,0.550406,0.0929308,19.1797,0.171159,12.2435,11.4601,9.30729,0.149378,0.0633217,0.0545137,
364000,11648000,0.45416,0.549906,0.0957456,19.2087,0.380183,12.2632,11.4739,9.32396,0.337167,0.124415,0.124011,
366000,11712000,0.454686,0.550375,0.0942957,19.2376,1.00303,12.2837,11.4871,9.34031,0.827553,0.383145,0.417634,
368000,11776000,0.455181,0.545844,0.0911935,19.2635,0.984833,12.302,11.4991,9.35485,0.784881,0.360154,0.473441,
370000,11840000,0.455694,0.549937,0.0948747,19.2909,1.29517,12.3217,11.5116,9.37003,1.13686,0.389725,0.482841,
372000,11904000,0.456236,0.556594,0.101799,19.3083,0.899545,12.3356,11.5187,9.3787,0.760635,0.27959,0.390442,
374000,11968000,0.456772,0.556375,0.0926635,19.3366,0.844348,12.3557,11.5318,9.39469,0.724186,0.298654,0.315093,
