Topology 
Layer 0, Neurons-85, Activation-LINEARLayer 1, Neurons-170, Activation-RELULayer 2, Neurons-170, Activation-RELULayer 3, Neurons-32, Activation-SOFTMAX
Learning Rate,0.002

Baseline Calculator, Critic Network
Iterations,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
165000,0.336339,0.295,11.1837,0.426062,7.53614,7.55056,3.35735,0.157151,0.206922,0.337662,
166000,0.336217,0.316,11.1825,0.401858,7.53565,7.55013,3.35513,0.142747,0.191891,0.322941,
167000,0.336293,0.349,11.1833,0.61348,7.53598,7.55053,3.3563,0.233716,0.324817,0.465003,
168000,0.336286,0.335,11.1833,0.559069,7.53615,7.55072,3.35532,0.184518,0.303064,0.432046,
169000,0.336426,0.36,11.1853,0.572704,7.53662,7.55139,3.35974,0.174139,0.28987,0.462213,
170000,0.3363,0.315,11.1846,4.36618,7.5363,7.55113,3.35858,1.30524,2.2279,3.52084,
171000,0.336152,0.311,11.1856,0.708232,7.53661,7.5515,3.36047,0.273224,0.34728,0.553478,
172000,0.336076,0.323,11.1901,0.445108,7.53805,7.55324,3.36818,0.172519,0.232078,0.338375,
173000,0.336058,0.333,11.1881,0.444828,7.53753,7.55264,3.36417,0.125736,0.216292,0.367804,
174000,0.336046,0.334,11.1895,1.21617,7.53807,7.55322,3.36634,0.425802,0.649579,0.935851,
175000,0.336234,0.369,11.1867,0.55548,7.53718,7.55225,3.36111,0.214052,0.279658,0.42957,
176000,0.336318,0.351,11.1868,0.705627,7.5371,7.55222,3.3616,0.253203,0.364105,0.548839,
177000,0.336333,0.339,11.1854,0.736354,7.53656,7.55152,3.35963,0.263147,0.381108,0.572475,
178000,0.336157,0.305,11.1868,0.415685,7.537,7.55211,3.36218,0.157422,0.209748,0.322519,
179000,0.336385,0.377,11.1876,0.61178,7.53714,7.55233,3.36412,0.274673,0.335896,0.431282,
180000,0.336206,0.304,11.1874,0.510934,7.53697,7.55219,3.36388,0.191785,0.24713,0.403979,
181000,0.335972,0.294,11.1861,0.544455,7.53654,7.55168,3.36175,0.159482,0.271037,0.44445,
182000,0.336099,0.359,11.1876,0.518969,7.53694,7.55227,3.36449,0.197322,0.266852,0.398977,
183000,0.336098,0.336,11.187,1.16025,7.53675,7.55215,3.36331,0.37611,0.564151,0.941519,
184000,0.33625,0.364,11.188,0.662779,7.5372,7.5526,3.36469,0.209681,0.331644,0.534156,
185000,0.336162,0.32,11.189,2.6557,7.5377,7.55317,3.36552,0.93543,1.32711,2.10154,
186000,0.336333,0.368,11.1912,0.584677,7.53853,7.5541,3.36878,0.227906,0.327143,0.427649,
187000,0.336401,0.349,11.1912,0.444649,7.53843,7.55413,3.36914,0.179392,0.225409,0.338706,
188000,0.336441,0.344,11.1894,0.543721,7.53772,7.55342,3.36631,0.180157,0.270893,0.435652,
189000,0.336519,0.351,11.1922,0.698506,7.53839,7.55426,3.37206,0.234626,0.381378,0.536109,
190000,0.336589,0.35,11.1949,0.405074,7.53914,7.55526,3.37726,0.123052,0.197377,0.331641,
191000,0.336822,0.381,11.1959,0.620984,7.53935,7.55568,3.37923,0.198584,0.304839,0.503248,
192000,0.336771,0.327,11.1958,0.450169,7.53915,7.55557,3.37952,0.122177,0.216446,0.375335,
193000,0.336834,0.349,11.1959,1.03168,7.53929,7.55574,3.37924,0.431319,0.518418,0.780745,
194000,0.336918,0.353,11.1973,0.520404,7.53964,7.55617,3.38193,0.16204,0.244796,0.429695,
195000,0.337072,0.367,11.201,0.486574,7.54069,7.55747,3.38895,0.145876,0.250278,0.390942,
196000,0.337031,0.329,11.1989,0.647051,7.54013,7.55677,3.3848,0.202492,0.316489,0.526789,
197000,0.337096,0.35,11.1973,0.524633,7.53981,7.5562,3.38166,0.176977,0.26966,0.413767,
198000,0.337131,0.344,11.1979,0.43048,7.53993,7.55639,3.38266,0.143081,0.217144,0.343059,
199000,0.337226,0.356,11.2002,0.477914,7.54069,7.55729,3.38667,0.158878,0.226456,0.389715,
200000,0.33701,0.294,11.2028,0.708488,7.54167,7.55839,3.39076,0.272229,0.35691,0.548145,
201000,0.336746,0.284,11.2072,0.944387,7.54292,7.55992,3.39901,0.339527,0.448009,0.758865,
202000,0.336926,0.373,11.2066,0.444312,7.5424,7.55944,3.39923,0.146956,0.236163,0.346474,
203000,0.336813,0.314,11.2117,0.650667,7.54376,7.56124,3.40915,0.268387,0.344711,0.482193,
204000,0.336779,0.33,11.2138,0.683037,7.54447,7.56213,3.4123,0.240968,0.351218,0.533966,
205000,0.336654,0.311,11.2134,0.604035,7.54454,7.56222,3.41081,0.205664,0.298555,0.483142,
206000,0.336617,0.329,11.2144,1.12224,7.54478,7.56259,3.41257,0.410047,0.565849,0.878119,
207000,0.336444,0.301,11.2177,0.488982,7.54553,7.56371,3.41927,0.177816,0.23868,0.387964,
208000,0.336365,0.32,11.2192,1.59378,7.54616,7.56455,3.42118,0.652825,0.890383,1.14942,
209000,0.336201,0.302,11.2218,0.411189,7.54685,7.56554,3.4257,0.179454,0.212784,0.302648,
210000,0.336138,0.323,11.2218,0.538346,7.54679,7.56564,3.42581,0.169975,0.260381,0.439461,
211000,0.336033,0.314,11.2187,0.54642,7.54602,7.56467,3.41929,0.180089,0.276809,0.435338,
212000,0.336118,0.354,11.2207,0.298143,7.54671,7.56554,3.42248,0.0793951,0.154547,0.242283,
213000,0.336174,0.348,11.219,4.64864,7.54611,7.56495,3.41945,1.63676,2.43688,3.60451,
214000,0.336257,0.354,11.2186,2.49156,7.54633,7.56503,3.4178,0.861936,1.28709,1.95149,
215000,0.336363,0.359,11.2179,0.624449,7.54601,7.56471,3.41685,0.17891,0.297366,0.519135,
216000,0.336222,0.306,11.219,0.393459,7.54633,7.56522,3.41845,0.118182,0.19057,0.323305,
217000,0.336438,0.383,11.2198,0.685168,7.54652,7.56546,3.42008,0.254344,0.378307,0.511515,
218000,0.336344,0.316,11.2211,0.524845,7.54711,7.56609,3.42187,0.171424,0.275246,0.412694,
219000,0.336178,0.3,11.2205,0.538132,7.54713,7.56603,3.41988,0.206553,0.277449,0.412243,
220000,0.336395,0.384,11.2239,0.676099,7.54819,7.56752,3.42548,0.228785,0.324061,0.547496,
221000,0.336561,0.373,11.2241,0.714979,7.5482,7.56754,3.42607,0.297926,0.362913,0.539193,
222000,0.336658,0.358,11.2247,0.867594,7.54832,7.5677,3.42749,0.278221,0.424397,0.703703,
223000,0.336448,0.29,11.2257,0.36998,7.54867,7.568,3.42915,0.105031,0.168083,0.312413,
224000,0.336491,0.346,11.2243,0.465647,7.54849,7.56773,3.42559,0.153711,0.23498,0.371463,
225000,0.336382,0.312,11.2269,0.487758,7.54941,7.5689,3.42963,0.207682,0.253706,0.361122,
226000,0.336363,0.332,11.2292,0.535733,7.55028,7.56992,3.43286,0.185926,0.263616,0.427724,
227000,0.336445,0.355,11.2307,0.488244,7.55069,7.57059,3.43527,0.169186,0.249769,0.383892,
228000,0.336329,0.31,11.2299,2.70586,7.55043,7.5703,3.43397,0.984039,1.29494,2.16252,
