Topology 
Layer 0, Neurons-85, Activation-LINEARLayer 1, Neurons-170, Activation-RELULayer 2, Neurons-170, Activation-RELULayer 3, Neurons-32, Activation-SOFTMAX
Learning Rate,0.002

Baseline Calculator, Critic Network
Iterations,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
199000,0.342759,0.301,11.4229,0.758541,7.6234,7.59784,3.82624,0.27024,0.361477,0.609663,
200000,0.34272,0.335,11.4359,0.810444,7.62712,7.60234,3.84858,0.279489,0.386941,0.654967,
201000,0.342552,0.309,11.437,0.950948,7.62733,7.60268,3.85063,0.39179,0.422865,0.756299,
202000,0.342609,0.354,11.4341,0.238044,7.6265,7.6013,3.84643,0.0851076,0.118404,0.188155,
203000,0.342507,0.322,11.432,1.01666,7.626,7.60042,3.84302,0.696866,0.584702,0.453986,
204000,0.342387,0.318,11.4372,0.177013,7.62803,7.60258,3.85018,0.0427564,0.0806414,0.151666,
205000,0.34238,0.341,11.4342,0.691122,7.62669,7.60087,3.84715,0.214002,0.318957,0.57456,
206000,0.34249,0.365,11.4349,0.306406,7.62758,7.60148,3.84635,0.103143,0.147805,0.24779,
207000,0.342594,0.364,11.4351,0.724599,7.62885,7.60211,3.84304,0.331682,0.368764,0.528245,
208000,0.342534,0.33,11.4291,0.453397,7.62769,7.60029,3.83117,0.18163,0.216977,0.35426,
209000,0.34234,0.302,11.4183,0.443425,7.62543,7.59704,3.80986,0.191173,0.227462,0.32915,
210000,0.342386,0.352,11.4263,7.66431,7.62864,7.60035,3.82094,5.32962,4.52352,3.14239,
211000,0.342346,0.334,11.4286,0.730842,7.62966,7.60128,3.82395,0.321839,0.365219,0.545128,
212000,0.342627,0.402,11.4445,3.44711,7.63497,7.60707,3.84912,1.65776,1.72044,2.48485,
213000,0.342455,0.306,11.4492,1.31954,7.63672,7.60891,3.85594,0.98227,0.727564,0.496963,
214000,0.342673,0.389,11.4483,1.72962,7.63608,7.60828,3.85587,0.871706,0.764132,1.28368,
215000,0.342698,0.348,11.4525,0.958182,7.638,7.61027,3.86051,0.329129,0.442921,0.783331,
216000,0.34237,0.272,11.4588,0.457334,7.6406,7.61321,3.86828,0.244541,0.230945,0.309869,
217000,0.342479,0.366,11.4416,0.614967,7.63574,7.6069,3.83939,0.316751,0.326897,0.413511,
218000,0.342271,0.297,11.4389,0.592259,7.63559,7.60641,3.8327,0.205051,0.294023,0.47146,
219000,0.342347,0.359,11.4479,1.79522,7.63825,7.60963,3.84783,0.807969,0.806699,1.38537,
220000,0.342409,0.356,11.4568,1.2392,7.64117,7.61314,3.86159,0.59218,0.611369,0.900647,
221000,0.342407,0.342,11.4633,0.528465,7.64271,7.61528,3.87347,0.215745,0.243074,0.416706,
222000,0.342432,0.348,11.4674,0.589358,7.64427,7.61744,3.87824,0.244808,0.272075,0.461939,
223000,0.342561,0.371,11.4773,0.496746,7.64774,7.62168,3.89222,0.169481,0.240138,0.400458,
224000,0.342513,0.332,11.492,0.790532,7.65247,7.62724,3.91553,0.3417,0.364113,0.612865,
225000,0.342644,0.372,11.5009,0.432537,7.65644,7.63109,3.92619,0.245249,0.22711,0.274521,
